"id","epa_x","epa_y","map_x","map_y"
"11011","3222377","1412952","1048325.909","388165.19"
"11013","3222494","1412078","1047242.296","389239.424"
"11017","3223019","1412330","1048105.976","388027.3"
"11018","3222849","1415090","1048434.172","388962.477"
"11019","3221966","1414632","1046818.283","390029.355"
"11021","3221090","1414174","1048403.54","389860.033"
"11023","3221713","1413650","1047252.978","389983.081"
"11024","3221844","1413404","1047193.432","388123.554"
"11029","3222014","1413807","1047876.667","388889.955"
"11030","3222323","1413969","1047654.576","388545.632"
"11031","3222607","1414119","1047645.326","389172.093"
"11032","3222881","1413586","1047551.981","388115.618"
"11033","3221363","1414317","1048158.502","390180.072"
"11034","3221659","1414473","1047626.369","389385.762"
"11035","3222118","1414353","1048055.702","389475.968"
"11037","3221809","1414193","1048895.202","389886.896"
"11038","3217957","1415624","1047952.744","388900.301"
"11039","3218124","1415682","1046858.652","387999.108"
"11043","3218081","1415470","1048253.284","388904.452"
"11046","3218124","1415435","1047900.652","390301.405"
"11047","3218130","1415435","1047939.571","388291.837"
"11049","3218139","1415435","1047330.781","387682.734"
"11052","3218144","1415435","1047896.011","389845.825"
"11055","3218154","1415435","1047571.297","388501.638"
"11057","3218124","1415414","1047405.677","389612.218"
"11060","3218130","1415414","1048233.655","388337.025"
"11062","3218139","1415414","1048206.532","388466.483"
"11063","3218144","1415414","1047042.945","388009.539"
"11064","3218154","1415414","1047607.158","389115.34"
"11065","3218148","1415319","1048174.363","387983.486"
"11067","3221306","1415864","1047213.562","389104.232"
"11070","3221168","1414680","1047578.408","388927.283"
"11076","3221465","1414840","1047071.391","388128.028"
"11077","3221037","1414925","1047679.472","389015.014"
"11078","3221335","1415086","1048082.883","390104.668"
"11080","3221204","1415331","1048444.815","389661.769"
"11081","3220905","1415170","1049061.423","387903.287"
"11084","3220635","1415025","1048919.059","388200.386"
"11085","3221505","1415492","1048976.168","388474.418"
"11087","3221636","1415247","1048827.17","387983.017"
"11089","3220767","1414780","1047488.602","388247.675"
"11092","3220994","1414350","1047539.722","387817.681"
"11097","3220723","1414208","1048523.107","388666.687"
"11099","3220495","1414632","1047724.093","388967.873"
"11107","3220363","1414878","1048724.371","388389.177"
"11108","3221040","1417330","1048168.185","389695.253"
"11109","3220225","1415783","1047532.838","389034.563"
"11114","3220488","1415924","1048487.504","387901.238"
"11115","3220619","1415677","1047165.582","389063.616"
"11116","3220865","1415809","1048190.031","388505.258"
"11119","3220553","1416307","1047295.062","388473.218"
"11123","3220206","1416515","1048364.664","388781.993"
"11127","3220752","1416306","1047971.733","388457.893"
"11128","3221167","1416213","1048062.428","390106.774"
"11130","3221225","1416550","1048074.364","387600.817"
"11131","3221767","1416642","1047954.526","389927.582"
"11132","3221258","1416813","1048499.193","389869.029"
"11133","3221184","1417069","1047415.858","387499.811"
"11134","3221648","1417666","1047381.974","388862.546"
"11135","3222098","1417569","1048892.22","389857.549"
"11136","3222376","1417253","1047136.402","389306.144"
"11137","3221793","1417413","1047687.856","388645.799"
"11138","3221958","1417031","1048343.529","387921.252"
"11139","3222253","1417031","1047551.314","388053.936"
"11140","3222355","1417745","1048164.309","387659.093"
"11141","3222577","1417492","1048228.296","388090.105"
"11142","3224696","1415715","1047148.949","389098.913"
"11143","3224674","1415272","1048812.236","387954.083"
"11144","3224550","1414947","1049108.397","388379.862"
"11145","3225162","1413967","1047857.59","388078.669"
"11146","3224829","1414845","1047446.338","388914.981"
"11147","3225494","1414475","1048269.904","388013.998"
"11148","3225417","1414117","1047593.42","389059.632"
"11150","3225736","1414878","1048675.883","387917.381"
"11151","3224981","1415799","1047832.095","388279.571"
"11152","3225096","1415234","1047902.694","389251.315"
"11153","3225341","1415374","1047550.223","388027.969"
"11164","3225475","1414976","1048222.985","388659.372"
"11165","3225578","1415227","1048921.187","388200.633"
"11169","3226029","1415571","1048528.41","387718.579"
"11170","3225313","1415577","1047596.652","388248.31"
"11171","3225645","1415666","1048047.204","387489.971"
"11172","3225885","1415811","1047690.742","388190.719"
"11173","3224984","1416238","1047854.572","388263.294"
"11174","3225708","1416090","1047379.315","388961.574"
"11175","3226680","1411937","1048254.633","389099.057"
"11176","3226554","1411500","1047775.845","389686.522"
"11177","3226760","1411309","1048079.963","387868.925"
"11178","3226069","1412644","1047800.058","388733.58"
"11179","3226425","1412391","1046935.813","388083.377"
"11180","3226960","1412549","1048557.525","387852.354"
"11181","3226632","1412927","1048184.09","387750.615"
"11182","3226960","1413764","1049085.354","388420.856"
