"id","epa_x","epa_y","map_x","map_y"
"112641","1396784.48","425679.53","772113.558","391668.499"
"112642","1396755.47","425673.45","772289.81","392151.41"
"112661","1393824.29","425509.58","772517.85","390985.56"
"112665","1393095.78","425497.52","772307.975","391369.912"
"112680","1395104.32","425400.75","772513.42","391599.65"
"112695","1395576.32","425323.76","771628.49","391005.981"
"112697","1393533.72","425302.11","772777.981","391563.286"
"112703","1394147.23","425279.16","771925.088","391455.25"
"112724","1395571.89","425079.43","771964.218","391418.678"
"112725","1395683.97","425079.17","772670.66","391752.77"
"112732","1395200.83","425083.5","772612.76","391833.53"
"112736","1393777.58","425031.97","771999.371","390969.964"
"112747","1394425.56","424984.75","771222.99","391341.93"
"112779","1395941.05","424846.98","771608.27","391231.04"
"112783","1394768.9","424815.61","771623.84","391003.37"
"112796","1395379.5","424800.84","772647.333","392239.24"
"112814","1394088.41","424723.01","771567.39","391945.849"
"112817","1394583.8","424679.98","772692.79","392145.72"
"112830","1393974.02","424621.8","771923.06","391532.4"
"112852","1394260.14","424525.56","772016.361","391171.017"
"112925","1395063.93","424224.22","771744.235","391292.468"
"112963","1394674.77","424116.77","771848.997","391463.386"
"112980","1394459.49","424059.43","772173.722","391476.752"
"112983","1395718.51","424061.56","772847.921","391018.17"
"112988","1395455.64","424040.32","771909.244","391695.77"
"113014","1394169.22","423969.97","772565.297","391985.918"
"113031","1395763.31","423916.42","771485.84","392443.458"
"113062","1394795.01","423753.63","772250.914","391906.605"
"113085","1394565.82","423632.98","772058.881","391175.49"
"113102","1395555.63","423568.51","772426.792","392316.093"
"113115","1395053.07","423488.95","772468.078","392352.583"
"113141","1394926.38","423409","772541.64","392027.863"
"113205","1394629.09","423089.72","772303.16","392292.78"
"113213","1394660.15","423082.75","772417.376","391247.375"
"113235","1394571.88","422972.38","772367.85","391443.59"
"113256","1393801.51","422892.24","772267.231","391800.999"
"113276","1395459.4","422796.31","771785.58","391563.72"
"113349","1394055.58","422507.7","772066.482","391161.636"
"113361","1393669.23","422460.59","771964.839","391715.456"
"113363","1393505.65","422456.66","772414.667","391499.087"
"113433","1394204.32","422186","771775.368","391118.522"
"113454","1393574.63","422105.95","772078.701","391093.511"
"113487","1394307.55","421971.9","771463.053","391490.763"
"125982","1390286.31","428606.09","772031.623","391178.935"
"125988","1395870.85","427756.55","772317.469","391273.569"
"125990","1396558.19","427533.58","772504.735","392280.714"
"125992","1392017.55","427283.15","772804.435","391592.812"
"125994","1396536.24","427158.91","771964.25","391038.18"
"125998","1396232.94","426702.16","771416.364","391538.69"
"126011","1395162.31","425205.02","772149.04","391982.99"
"126016","1395867.09","424728.14","771590.689","391657.955"
"126024","1395468.95","423737.33","771725.92","391615.86"
"136023","1392162.32","428939.33","772733.907","391829.157"
"136028","1390547.42","428818.82","772026.74","391093.976"
"136051","1390609.29","428168.2","772500.719","391292.703"
"136079","1396086.65","427543.39","772334.348","391921.851"
"136083","1395193.44","427434.03","771764.223","391856.959"
"136090","1396230.83","427329.58","772119.306","391849.421"
"136101","1392614.91","427162.93","772074.985","391062.716"
"136103","1396262.3","427137.77","771406.437","392046.056"
"136121","1392920.96","426687.19","772405.341","391358.322"
"136122","1391645.14","426685.34","772567.243","392221.574"
"136124","1394118.51","426512.35","771817.208","391238.929"
"136138","1393125.97","426258.63","772343.82","391450.53"
"136141","1393558.17","426098.12","772093.672","391756.765"
"136178","1394871.86","424936.79","772309.04","391532.107"
"136188","1394518.64","424657.28","772819.382","392400.841"
"136196","1393785.05","424414.97","772722.703","391687.875"
"136233","1394531.87","423760.76","772265.174","391254.814"
"136254","1394437.45","422830.38","772638.47","391059.79"
"297542","1390331.53","428458.17","772209.13","391452.923"
"297543","1390343.78","428456.12","771596.05","391217.92"
"297549","1390326.78","428446.55","771692.649","391725.026"
"297550","1390344.59","428443.5","771921.92","391433.457"
"299166","1390347.29","428443.04","771169.184","391689.278"
"299481","1390324.25","428446.98","772846.45","391944.35"
"303220","1390331.93","428445.67","772431.348","392049.188"
"303421","1390338.46","428440.6","772069.7","392050.66"
"303665","1390331.6","428441.85","772114.843","391485.93"
"304413","1390339.34","428444.4","772530.684","391996.057"
"140785-A","1390336.56","428440.94","772198.79","392190.24"
"140785-B","1390336.56","428440.94","771992.95","391483.61"
"294718-A","1390336.65","428444.86","771639.091","391670.974"
"294718-B","1390336.65","428444.86","772430.204","391255.184"
"329219","1389700.04","428711.74","771952.623","390987.72"
