  Page 1                                    Thu Aug  2 22:27:11 2018

  ******************************************************************
  *                           E P A N E T                          *
  *                   Hydraulic and Water Quality                  *
  *                   Analysis for Pipe Networks                   *
  *                         Version 2.00.12                        *
  ******************************************************************
  
  Scenario: Average Day  
  Date: 8/16/2016 4:09:48 PM  
   
      Input Data File ................... ../Data/final_input.inp
      Number of Junctions................ 299
      Number of Reservoirs............... 1
      Number of Tanks ................... 0
      Number of Pipes ................... 316
      Number of Pumps ................... 0
      Number of Valves .................. 2
      Headloss Formula .................. Hazen-Williams
      Hydraulic Timestep ................ 15.00 min
      Hydraulic Accuracy ................ 0.001000
      Status Check Frequency ............ 3
      Maximum Trials Checked ............ 10
      Damping Limit Threshold ........... 0.000000
      Maximum Trials .................... 40
      Quality Analysis .................. None
      Specific Gravity .................. 1.00
      Relative Kinematic Viscosity ...... 1.00
      Relative Chemical Diffusivity ..... 1.00
      Demand Multiplier ................. 1.00
      Total Duration .................... 30.00 min
      Reporting Criteria:
         All Nodes
         All Links
   
   
  Hydraulic Status:
  -----------------------------------------------------------------------
     0:00:00: Balanced after 8 trials
     0:00:00: Reservoir 329219 is emptying
   
     0:15:00: Balanced after 11 trials
     0:15:00: PRV 294718 changed from active to open
   
     0:30:00: Balanced after 1 trials
   
   
  Node Results at 0:00:00 hrs:
  ----------------------------------------------
                     Demand      Head  Pressure
  Node                  gpm        ft       psi
  ----------------------------------------------
  210814               8.06      0.05      0.00
  210903               0.00      0.00      0.00
  211982               1.20      0.05      0.01
  212040               5.55      0.06      0.01
  212307               1.47      0.02      0.00
  212462               4.72      0.03      0.00
  213198               0.12      0.00      0.00
  213244              41.00      0.07      0.00
  213894               1.54      0.04      0.00
  214258              -1.86      0.01      0.00
  214343               2.54      0.03      0.00
  214803             -28.09      0.04      0.00
  215748              28.32      0.05      0.00
  215782               0.55      0.03      0.00
  216399              -0.00      0.00      0.00
  216800               0.29      0.00      0.00
  218565               3.00      0.03      0.00
  219177              10.72      0.07      0.00
  222581               0.28      0.01      0.00
  222897               3.79      0.04      0.00
  223500               0.07      0.00      0.00
  223515               5.06      0.06      0.01
  223565              21.66      0.14      0.02
  223595               5.17      0.03      0.00
  224325               0.98      0.01      0.00
  224457              11.45      0.03      0.00
  224694              16.59      0.11      0.01
  226076              -0.62      0.01      0.00
  226948               2.47      0.03      0.00
  227122               0.08      0.00      0.00
  227292             -56.79      0.09      0.00
  227701              -0.00      0.00      0.00
  228252              21.82      0.14      0.02
  228285               1.64      0.02      0.00
  228701              13.37      0.04      0.00
  229363               4.28      0.03      0.00
  229621               0.52      0.02      0.00
  230652               0.64      0.03      0.00
  230726               0.50      0.02      0.00
  231290             -11.14      0.03      0.00
  231666               4.33      0.05      0.00
  231795               0.82      0.04      0.01
  231836               0.58      0.03      0.00
  231862              -0.22      0.00      0.00
  232630               2.65      0.03      0.00
  233234               0.49      0.02      0.00
  234415               1.73      0.01      0.00
  234455               4.96      0.03      0.00
  234688              -1.35      0.01      0.00
  236434             141.15      0.23      0.02
  236811               8.83      0.06      0.00
  237041              -3.14      0.02      0.00
  237064              -1.08      0.01      0.00
  237168               0.57      0.03      0.00
  237177               0.75      0.02      0.00
  239445              -1.86      0.01      0.00
  240228               0.70      0.03      0.00
  240391               1.05      0.01      0.00
  240897               0.82      0.04      0.01
  241237             -27.92      0.08      0.00
  241472               0.68      0.03      0.00
  242304              -6.36      0.07      0.01
  242787              -5.46      0.03      0.00
  243710               0.55      0.01      0.00
  244154               5.40      0.03      0.00
  244199              87.37      0.14      0.01
  244291              -1.35      0.01      0.00
  244762               1.13      0.05      0.01
  245259               1.74      0.08      0.02
  245846               0.53      0.02      0.00
  246401               4.74      0.05      0.01
  246465               0.51      0.02      0.00
  248481               0.68      0.00      0.00
  250349              -7.89      0.05      0.00
  250496               2.20      0.01      0.00
  250804              10.13      0.06      0.00
  251045              -0.47      0.00      0.00
  251284               0.00      0.00      0.00
  251733              -8.66      0.06      0.00
  252796               5.36      0.03      0.00
  253204               5.97      0.04      0.00
  254126               1.58      0.02      0.00
  254662               3.50      0.04      0.00
  255356               2.67      0.02      0.00
  255518              40.29      0.06      0.00
  255539              32.87      0.09      0.01
  255739              10.23      0.07      0.00
  256669              31.00      0.05      0.00
  256794             -56.79      0.09      0.00
  256953               0.73      0.03      0.00
  257019            -116.32      0.19      0.01
  257297               1.05      0.01      0.00
  257785             -65.54      0.10      0.00
  258261             -28.56      0.08      0.00
  258447               4.32      0.03      0.00
  260582              24.56      0.07      0.00
  261100               0.88      0.02      0.00
  261233              11.82      0.08      0.01
  261270             -63.48      0.10      0.00
  261655              -0.04      0.00      0.00
  263969               2.39      0.03      0.00
  264001               7.95      0.05      0.00
  264770               3.27      0.04      0.00
  265551             -58.65      0.09      0.00
  265560               5.98      0.04      0.00
  265616               1.45      0.07      0.02
  265691               1.50      0.02      0.00
  265706              14.04      0.04      0.00
  265808              -2.33      0.01      0.00
  266194              16.45      0.10      0.01
  266841              -0.81      0.00      0.00
  266842              -0.81      0.00      0.00
  267929              72.01      0.11      0.01
  268077              -2.59      0.03      0.00
  269429               1.48      0.02      0.00
  269835              40.23      0.11      0.01
  270144              12.69      0.08      0.01
  270838               1.01      0.05      0.01
  272117            -113.71      0.18      0.01
  273407               8.52      0.05      0.00
  273419               7.53      0.05      0.00
  274062               1.12      0.05      0.01
  274243              -0.53      0.01      0.00
  275061               0.44      0.00      0.00
  275324               2.59      0.02      0.00
  275693               1.14      0.01      0.00
  275721               3.03      0.03      0.00
  276538             -30.02      0.09      0.00
  276808               0.86      0.01      0.00
  276846               4.63      0.03      0.00
  277145              -1.48      0.02      0.00
  277754              41.49      0.07      0.00
  278116               1.44      0.07      0.02
  278604               0.92      0.01      0.00
  279316              73.16      0.12      0.01
  279674               5.06      0.06      0.01
  279828               2.29      0.01      0.00
  279853               4.29      0.03      0.00
  279866              -5.82      0.02      0.00
  279993              15.69      0.04      0.00
  280028               1.86      0.01      0.00
  280625              -4.23      0.05      0.00
  280641               0.44      0.01      0.00
  280654               1.81      0.01      0.00
  281851               0.71      0.01      0.00
  281980               2.68      0.02      0.00
  282316             141.15      0.10      0.00
  283626            -118.48      0.19      0.01
  283705               6.86      0.04      0.00
  284682              -0.63      0.00      0.00
  284874               8.52      0.05      0.00
  285060              36.63      0.06      0.00
  286293               1.91      0.01      0.00
  287815            -140.73      0.22      0.02
  288039               3.10      0.04      0.00
  289269              43.05      0.12      0.01
  289311               0.64      0.01      0.00
  289801              -0.79      0.01      0.00
  289907              43.54      0.07      0.00
  289918             -10.09      0.06      0.01
  290654               0.65      0.01      0.00
  291176              -2.23      0.03      0.00
  291951              -0.67      0.01      0.00
  292098               9.49      0.06      0.00
  292348               5.67      0.04      0.00
  292497              -3.24      0.04      0.00
  292567              -0.47      0.00      0.00
  292791              -0.00      0.00      0.00
  293204               0.90      0.01      0.00
  293382              24.18      0.07      0.00
  310606               0.00      0.00      0.00
  310991             141.15      3.60     15.30
  311108             141.15      6.41     62.13
  311112             141.15      3.60     15.30
  312120               0.00      0.00      0.00
  312936             141.15      6.41     62.13
  313119              -0.00      0.00      0.00
  313285             141.15      6.41     62.13
  313352             141.15      6.41     62.13
  313450               0.00      0.00      0.00
  313498               0.00      0.00      0.00
  314563             141.15      0.58      0.18
  329220            -141.15      0.10      0.00
  140785               0.00      0.00      0.00  PRV
  294718             141.15      6.41     15.48  PRV
   
   
  Node Results at 0:15:00 hrs:
  ----------------------------------------------
                     Demand      Head  Pressure
  Node                  gpm        ft       psi
  ----------------------------------------------
  51956                0.18    152.28      7.95
  51961                0.27    152.28      8.77
  52038                1.45    152.28     12.23
  52080                1.54    152.28     23.08
  52086                0.46    152.28     22.89
  52087                0.00    152.28     24.56
  52108                1.15    152.28      6.36
  52157                0.00    152.28     30.62
  52160                0.00    152.28     31.17
  52166                0.16    152.28     29.63
  52174                1.16    152.28     29.56
  52179                0.00    152.28      5.39
  52188                0.43    152.28      5.31
  52189                0.00    316.98     92.38
  52197                0.38    152.28      2.85
  52198                0.50    152.28      3.22
  52222                0.30    152.28      1.81
  52254                0.00    152.30     10.92
  52258                0.00    315.74     82.02
  52261                0.00    152.30     10.51
  52262                0.00    152.30     10.15
  52264                0.00    152.30     10.26
  52307                0.11    152.28      1.56
  52344                0.22    152.28      5.31
  52350                0.61    152.28      5.31
  52359                0.12    152.28      7.21
  52360                0.00    152.28      7.56
  52392                0.00    152.29      6.45
  52407                0.79    152.28     20.88
  52413                0.56    152.28     22.51
  52417                0.00    152.29      5.06
  52418                0.00    152.29      4.97
  52423                1.30    152.28     22.61
  52438                1.83    152.27     22.61
  52439                1.62    152.25     34.66
  52451                0.06    152.25     34.50
  52460                0.57    152.27     22.16
  52472                1.18    152.27     18.61
  52484                0.00    152.25     28.35
  52501                1.05    152.25     27.90
  52509                0.75    152.25     39.89
  52512                0.08    152.25     39.89
  52528                1.32    152.27     17.41
  52534                0.21    152.25     33.03
  52560                0.08    152.25     25.19
  52575                1.13    152.25     24.64
  52578                0.00    152.25     37.90
  52581                1.94    152.25     25.19
  52589                0.00    152.25     36.77
  52603                0.08    152.25     36.84
  52605                0.43    152.25     37.91
  52622                0.22    152.27      3.24
  52628                1.58    152.26     23.21
  52642                0.43    152.27      7.90
  52655                0.35    152.25     32.92
  52660                0.56    152.27     27.14
  52685                0.41    152.27     26.33
  52702                0.21    152.27     25.20
  52704                0.37    152.26     10.57
  52709                0.27    152.25     31.68
  52712                0.22    152.27     15.72
